timestamp,price
1647866381.133356,350275.6
1647866422.6576815,346373.03
1647867074.2010982,348576.28
1647867255.900705,345876.0
1647868724.751341,347869.53
1647868732.3810802,347751.22
1647868990.0374951,348773.88
1647868998.675446,349361.53
1647869273.0565276,350280.94
1647869290.8552177,349918.84
1647869557.3855689,348297.34
1647869611.5464933,348143.25
1647870043.495199,347957.28
1647870048.44599,346564.12
1647870350.6179352,349436.56
1647870358.3912437,350618.56
1647870651.1435,348368.03
1647870654.3833797,348451.3
1647870946.7391834,347204.25
1647870952.0957778,345915.94
1647871239.5396883,348101.8
1647871248.1703196,348256.84
1647871524.6675177,347937.22
1647871529.978715,347922.4
1647965107.1543021,359354.8
1647965245.6166542,362564.28
1647970657.0139406,363853.78
1647972260.642907,364013.53
1647972453.6764734,363444.66
1647994001.4407098,360972.53
1648013707.2040038,355855.03
1648043251.9106903,355865.5
1648043522.671585,356939.28
1648043795.3634846,356207.16
1648044040.5010455,356129.1
1648044288.247097,357035.53
